,W_n1,W_n2,X1,X2
277,0.85,0.32,0.49837722074530844,2.042012137753753
278,0.85,0.35,0.49674761295920694,2.031658390835443
279,0.85,0.37,0.49506819668602137,2.021157462279666
280,0.82,0.2,0.5042507015049422,2.0814614967019485
281,0.82,0.22,0.5028741648224857,2.0717379472471498
282,0.82,0.25,0.5014491118073144,2.0618572041621044
283,0.82,0.27,0.49997450462241777,2.0518218166801416
284,0.82,0.3,0.49839571095445023,2.041634161268375
285,0.82,0.32,0.49676671412395806,2.0312964577592605
286,0.82,0.35,0.495087906921326,2.020810782985274
287,0.8,0.17,0.5042670946159118,2.080983716567131
288,0.8,0.2,0.5028911691208126,2.0712810841064
289,0.8,0.22,0.5014667326845335,2.0614201762775273
290,0.8,0.25,0.49999342270249014,2.0514036119552213
291,0.8,0.27,0.4984152755442647,2.0412338315823844
292,0.8,0.3,0.4967869253815598,2.030913113856974
293,0.8,0.32,0.4951087628731287,2.0204435898580595
294,0.77,0.15,0.5042844384609445,2.0804777349630874
295,0.77,0.17,0.5029091597764055,2.0707972397091052
296,0.77,0.2,0.5014853758746535,2.0609573263956458
297,0.77,0.22,0.5000129577182101,2.0509606871735344
298,0.77,0.25,0.49843597562590936,2.040809829833718
299,0.77,0.27,0.49680830990015845,2.0305070950721955
300,0.77,0.3,0.49513082976406825,2.0200546711275797
301,0.75,0.12,0.5043027869019181,2.079943115003897
302,0.75,0.15,0.50292819269065,2.0702848266953318
303,0.75,0.17,0.5015050993397913,2.0604671338921947
304,0.75,0.2,0.5000333759429588,2.0504915853576944
305,0.75,0.22,0.4984578756280728,2.040360759757482
306,0.75,0.25,0.49683093428021646,2.0300770630644873
307,0.75,0.27,0.49515417636406306,2.0196500733777163
308,0.72,0.1,0.5043221966985291,2.079387574103661
309,0.72,0.12,0.5029483267750735,2.0697475522646793
310,0.72,0.15,0.5015259641659595,2.059949071218933
311,0.72,0.17,0.5000549759890321,2.049994872693732
312,0.72,0.2,0.4984810434579119,2.0398875141707076
313,0.72,0.22,0.49685486872140755,2.029629385621505
314,0.72,0.25,0.4951788751632044,2.019222723746992
315,0.7,0.07,0.5043427276456415,2.0787992541447555
316,0.7,0.1,0.5029696240943383,2.0691848627168175
317,0.7,0.12,0.5015480347118088,2.0594107021420593
318,0.7,0.15,0.5000778245273932,2.0494795964638244
319,0.7,0.17,0.4985055506674395,2.0393941790234185
320,0.7,0.2,0.49688018719521393,2.0291569098029423
